px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.95496	19.1385	4.9644	3.73685	0.436391	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.59357
4.78584	18.9879	4.92859	3.76892	0.448114	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.663266
4.57891	18.838	4.95077	3.79444	0.456958	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.48588
4.3977	18.7063	4.92483	3.81354	0.453608	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.10721
4.21236	18.5642	4.89584	3.82717	0.435589	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.38684
4.08059	18.4081	4.83363	3.86205	0.45122	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	2.16455
3.89864	18.2362	4.88005	3.90076	0.48731	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.16337
3.65179	18.0953	4.93975	3.89744	0.4558	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.58572
3.48569	17.9439	4.89507	3.91008	0.435574	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.37773
3.2646	17.7772	4.94097	3.91743	0.418741	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.18294
3.08728	17.5941	4.97169	3.94803	0.439936	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.44354
2.90598	17.476	4.94007	3.94801	0.416885	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.11619
2.76401	17.2606	4.96797	3.99771	0.462767	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	3.28558
2.58972	17.0758	4.97843	4.01549	0.45671	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0842142
2.42486	16.9082	4.93701	4.01979	0.423972	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	1.99225
2.26001	16.7357	4.93157	4.03282	0.415226	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.510881
2.08737	16.54	4.93264	4.04195	0.393637	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	5.03894
1.93362	16.3104	4.9628	4.0703	0.402378	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.27896
1.77618	16.1334	4.9336	4.07461	0.376824	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.12133
1.57421	15.9648	4.95955	4.06654	0.34683	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.84544
1.44793	15.7351	4.99207	4.10714	0.38343	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	1.98131
1.27727	15.5183	5.02774	4.11853	0.374185	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.915251
1.12259	15.325	5.01976	4.12541	0.358012	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0.996617
0.915509	15.1085	5.08475	4.12064	0.33189	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.735
0.768922	14.9265	5.0417	4.12082	0.304702	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.46745
0.660671	14.7111	5.02104	4.14801	0.318129	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.368665
0.549473	14.4711	5.04852	4.18388	0.348444	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.71221
0.377366	14.2503	5.08806	4.18511	0.330014	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	1.04461
0.260074	14.0004	5.14485	4.22189	0.366651	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	3.32933
0.234172	13.7511	5.09268	4.27852	0.409678	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.43486
0.133097	13.5092	5.12219	4.30749	0.426122	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	1.15189
-0.0307888	13.2805	5.1622	4.30264	0.396075	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.59908
-0.147815	13.061	5.13587	4.30797	0.373467	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0.975083
-0.16319	12.8327	5.07093	4.35735	0.409494	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.18391
-0.28166	12.6065	5.04915	4.35657	0.376622	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	3.55471
-0.399504	12.3707	5.06791	4.36236	0.36141	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.375381
-0.523074	12.1611	5.04263	4.35588	0.328077	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	3.8735
-0.603289	11.94	5.02298	4.37217	0.328424	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.524281
-0.727843	11.7121	5.02493	4.36672	0.29927	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	2.88492
-0.916581	11.4701	5.09032	4.33919	0.249785	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	4.34231
-1.02223	11.2436	5.05439	4.33522	0.219458	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	3.12042
-1.19533	11.0166	5.09214	4.31181	0.18027	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364	2.48784
-1.27565	10.7719	5.11369	4.33624	0.20629	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075	1.14517
-1.40366	10.5191	5.15011	4.33443	0.192399	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686	1.03586
-1.48897	10.2585	5.18504	4.3559	0.212593	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198	1.44789
-1.59057	10.0467	5.15881	4.3573	0.202712	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615	1.9326
-1.68024	9.81629	5.13823	4.36265	0.193882	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939	0.510505
-1.75834	9.59417	5.11222	4.37329	0.195225	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172	0.771583
-1.86499	9.34432	5.14984	4.37968	0.197521	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316	2.60349
-1.94556	9.05438	5.19892	4.39631	0.204452	-1.93833	8.77028	-1.99998	9.05243	-1.86233	-4.84374	4.17645
-2.03329	8.83006	5.16217	4.39508	0.184719	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347	1.79359
-2.12963	8.57836	5.1789	4.39829	0.17781	-2.1768	8.5411	-2.18412	8.56717	-1.82164	-4.86238	0.206695
-2.25458	8.32648	5.20921	4.38851	0.155546	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047	3.0024
-2.30601	8.09065	5.17938	4.40721	0.168025	-2.21875	8.15339	-2.3645	8.0802	-1.78726	-4.87778	0.662727
-2.37329	7.87518	5.13203	4.41338	0.162628	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843	5.45934
-2.48491	7.62484	5.15892	4.40728	0.146552	-2.59674	7.60288	-2.54177	7.59184	-1.75931	-4.89006	0.766266
-2.64578	7.39144	5.16516	4.36836	0.0796742	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507	5.98137
-2.74897	7.13566	5.18909	4.36714	0.0737283	-2.79865	7.064	-2.71658	7.10238	-1.73786	-4.89933	0.415011
-2.81339	6.90006	5.17485	4.38339	0.0937892	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286	1.53321
-2.86044	6.68774	5.11637	4.39851	0.10539	-2.74651	6.86867	-2.88957	6.61214	-1.72295	-4.90566	2.47543
-2.93015	6.46238	5.06801	4.39419	0.0797516	-2.57673	6.36755	-2.97559	6.36681	-1.71797	-4.90774	4.26018
-2.98594	6.22416	5.05116	4.40677	0.0891274	-2.90217	6.22989	-3.0614	6.12139	-1.71464	-4.90911	0.399648
-3.10179	5.97859	5.08362	4.39727	0.0754588	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976	3.3112
-3.182	5.7066	5.11995	4.40345	0.0779006	-3.1778	5.53101	-3.23274	5.63043	-1.71295	-4.9097	1.60777
-3.2911	5.46003	5.12526	4.3847	0.0382722	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893	2.3749
-3.38558	5.20016	5.15338	4.38379	0.0351912	-3.43031	5.10507	-3.40424	5.13955	-1.71787	-4.90745	0.588501
-3.45447	4.954	5.15248	4.39496	0.050767	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525	0.184927
-3.56524	4.67977	5.20766	4.38933	0.0423061	-3.69435	4.52196	-3.57657	4.64902	-1.72939	-4.90233	2.23093
-3.67451	4.42802	5.2179	4.3706	0.00372561	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868	2.37831
-3.80384	4.16054	5.27234	4.35829	-0.00881973	-4.00238	4.04684	-3.75039	4.15913	-1.74749	-4.8943	2.80683
-3.88649	3.91917	5.26436	4.36641	0.00895073	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918	1.092
-3.96031	3.68402	5.23857	4.37062	0.0123471	-3.88053	3.75177	-3.92635	3.67019	-1.77212	-4.8833	0.578496
-4.0647	3.47459	5.19698	4.35226	-0.0212265	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666	4.21184
-4.15553	3.22974	5.19876	4.3517	-0.0206857	-4.15119	3.21968	-4.10509	3.18248	-1.8032	-4.86925	0.00632235
